id,title,production_year,contribution
27, Shakespeare in Love        ,1998, Costume Design
209, The Matrix                 ,1999, Sound Effects Editing
205, The Matrix                 ,1999, Visual Effects
206, The Matrix                 ,1999, Visual Effects
207, The Matrix                 ,1999, Visual Effects
208, The Matrix                 ,1999, Visual Effects
1140, The Piano                  ,1993, Cinematography
306, The Piano                  ,1993, Costume Design
307, The Piano                  ,1993, Production Design
325, Mad Max                    ,1979, Music
349, Strictly Ballroom          ,1992, Costume Design
348, Strictly Ballroom          ,1992, Production Design
347, Strictly Ballroom          ,1992, Editing
545, Alien                      ,1979, Music
546, Alien                      ,1979, Production Design
547, Alien                      ,1979, Special Effects
562, Aliens                     ,1986, Sound Editor
563, Aliens                     ,1986, Visual Effects
564, Aliens                     ,1986, Visual Effects
6, Titanic                    ,1997, Set Decorator
7, Titanic                    ,1997, Cinematography
8, Titanic                    ,1997, Costume Design
9, Titanic                    ,1997, Visual Effects
10, Titanic                    ,1997, Sound Effects
11, Titanic                    ,1997, Editing
12, Titanic                    ,1997, Music
13, Titanic                    ,1997, Song Lyric
1009, Bullets Over Broadway      ,1994, producer
1010, Bullets Over Broadway      ,1994, cinematography
1011, Bullets Over Broadway      ,1994, film editing
1012, Bullets Over Broadway      ,1994, casting
1013, Bullets Over Broadway      ,1994, costume design
1019, Tombstone                  ,1993, producer
1020, Tombstone                  ,1993, cinematography
1021, Tombstone                  ,1993, film editing
1022, Tombstone                  ,1993, casting
1023, Tombstone                  ,1993, costume design
1009, Alice                      ,1990, producer
1010, Alice                      ,1990, cinematography
1011, Alice                      ,1990, film editing
1012, Alice                      ,1990, casting
1013, Alice                      ,1990, costume design
1032, Mermaids                   ,1990, producer
1033, Mermaids                   ,1990, cinematography
1034, Mermaids                   ,1990, film editing
1035, Mermaids                   ,1990, casting
1036, Mermaids                   ,1990, costume design
1041, Exotica                    ,1994, producer
1042, Exotica                    ,1994, cinematography
1043, Exotica                    ,1994, film editing
1047, Red Rock West              ,1992, producer
1048, Red Rock West              ,1992, cinematography
1049, Red Rock West              ,1992, film editing
1050, Red Rock West              ,1992, costume design
1056, Chaplin                    ,1992, cinematography
1057, Chaplin                    ,1992, film editing
1058, Chaplin                    ,1992, casting
1059, Chaplin                    ,1992, costume design
1065, Fearless                   ,1993, producer
1066, Fearless                   ,1993, cinematography
1067, Fearless                   ,1993, film editing
1068, Fearless                   ,1993, casting
1069, Fearless                   ,1993, costume design
1074, Threesome                  ,1994, producer
1075, Threesome                  ,1994, cinematography
1076, Threesome                  ,1994, film editing
1077, Threesome                  ,1994, casting
1078, Threesome                  ,1994, costume design
1079, Jungle Fever               ,1991, producer
1082, Jungle Fever               ,1991, cinematography
1083, Jungle Fever               ,1991, film editing
1084, Jungle Fever               ,1991, casting
1085, Jungle Fever               ,1991, costume design
1091, Internal Affairs           ,1990, producer
1092, Internal Affairs           ,1990, cinematography
1093, Internal Affairs           ,1990, film editing
1094, Internal Affairs           ,1990, casting
1095, Internal Affairs           ,1990, costume design
1096, Single White Female        ,1992, producer
1101, Single White Female        ,1992, cinematography
1102, Single White Female        ,1992, film editing
1103, Single White Female        ,1992, costume design
1104, Trust                      ,1990, producer
1107, Trust                      ,1990, cinematography
1108, Trust                      ,1990, film editing
1109, Trust                      ,1990, costume design
1114, Ju Dou                     ,1990, producer
1115, Ju Dou                     ,1990, cinematography
1116, Ju Dou                     ,1990, film editing
1117, Ju Dou                     ,1990, costume design
1121, Dahong Denglong Gaogao Gua ,1991, producer
1122, Dahong Denglong Gaogao Gua ,1991, cinematography
1123, Dahong Denglong Gaogao Gua ,1991, film editing
1127, Cyrano de Bergerac         ,1990, producer
1128, Cyrano de Bergerac         ,1990, cinematography
1129, Cyrano de Bergerac         ,1990, film editing
1130, Cyrano de Bergerac         ,1990, costume design
1010, Manhattan Murder Mystery   ,1993, cinematography
1011, Manhattan Murder Mystery   ,1993, film editing
1012, Manhattan Murder Mystery   ,1993, casting
1013, Manhattan Murder Mystery   ,1993, costume design
1132, El Mariachi                ,1992, producer
1139, Once Were Warriors         ,1994, producer
1140, Once Were Warriors         ,1994, cinematography
1141, Once Were Warriors         ,1994, film editing
1142, Once Were Warriors         ,1994, casting
1147, Priest                     ,1994, producer
1148, Priest                     ,1994, cinematography
1149, Priest                     ,1994, film editing
1150, Priest                     ,1994, casting
1154, Pump Up the Volum          ,1990, producer
1155, Pump Up the Volum          ,1990, cinematography
1156, Pump Up the Volum          ,1990, film editing
