id,title,production_year
1, Titanic                              ,1997
21, Shakespeare in Love                  ,1998
41, The Cider House Rules                ,1999
1051, Gandhi                               ,1982
81, American Beauty                      ,1999
101, Affliction                           ,1997
121, Life is Beautiful                    ,1997
141, Boys Dont Cry                        ,1999
1291, Saving Private Ryan                  ,1998
181, The Birds                            ,1963
181, Rear Window                          ,1954
201, The Matrix                           ,1999
241, The Price of Milk                    ,2000
261, The Footstep Man                     ,1992
241, Topless Women Talk About Their Lives ,1997
301, The Piano                            ,1993
321, Mad Max                              ,1979
341, Strictly Ballroom                    ,1992
361, My Mother Frank                      ,2000
381, American Psycho                      ,2000
401, Scream 2                             ,1997
401, Scream 3                             ,2000
441, Traffic                              ,2000
181, Psycho                               ,1960
481, I Know What You Did Last Summer      ,1997
501, Cruel Intentions                     ,1999
521, Wild Things                          ,1998
541, Alien                                ,1979
1, Aliens                               ,1986
1038, Alien 3                              ,1992
601, Alien: Resurrection                  ,1997
541, Gladiator                            ,2000
641, The World Is Not Enough              ,1999
661, Heat                                 ,1995
681, American History X                   ,1998
401, Fight Club                           ,1999
441, Out of Sight                         ,1998
741, Entrapment                           ,1999
661, The Insider                          ,1999
781, The Blair Witch Project              ,1999
801, Lethal Weapon 4                      ,1998
821, The Fifth Element                    ,1997
841, The Sixth Sense                      ,1999
841, Unbreakable                          ,2000
881, Armageddon                           ,1998
1331, The Kid                              ,2000
921, Twelve Monkeys                       ,1995
222, You have Got Mail                    ,1998
941, Toy Story                            ,1995
961, Proof of Life                        ,2000
1131, Hanging Up                           ,2000
1005, Bullets Over Broadway                ,1994
1014, Tombstone                            ,1993
1005, Alice                                ,1990
1027, Mermaids                             ,1990
1037, Exotica                              ,1994
1044, Red Rock West                        ,1992
1051, Chaplin                              ,1992
1060, Fearless                             ,1993
1070, Threesome                            ,1994
1079, Jungle Fever                         ,1991
1086, Internal Affairs                     ,1990
1096, Single White Female                  ,1992
1104, Trust                                ,1990
1110, Ju Dou                               ,1990
1110, Dahong Denglong Gaogao Gua           ,1991
1124, Cyrano de Bergerac                   ,1990
1005, Manhattan Murder Mystery             ,1993
1132, El Mariachi                          ,1992
1135, Once Were Warriors                   ,1994
1143, Priest                               ,1994
1151, Pump Up the Volum                    ,1990
1158, Benny and Joon                       ,1993
1165, Six Degrees of Separation            ,1993
1173, Bawang Bie Ji                        ,1993
1179, In the Line of Fire                  ,1993
1186, Heavenly Creatures                   ,1994
1191, Hoop Dreams                          ,1994
1195, Seven                                ,1995
1202, Shallow Grave                        ,1994
1210, French Kiss                          ,1995
1186, Braindead                            ,1992
1221, Clerks                               ,1994
1225, Apollo 13                            ,1995
1232, Reservoir Dogs                       ,1992
1232, Pulp Fiction                         ,1994
1241, Yinshi Nan Nu                        ,1994
1248, Short Cuts                           ,1993
1254, Legends of the Fall                  ,1994
1261, Natural Born Killers                 ,1994
1267, In the Mouth of Madness              ,1995
1274, Forrest Gump                         ,1994
1079, Malcolm X                            ,1992
1284, Dead Again                           ,1991
1291, Jurassic Park                        ,1993
1297, Clueless                             ,1995
1305, Shadowlands                          ,1993
1104, Amateur                              ,1994
1317, GoodFellas                           ,1990
1324, Little Women                         ,1994
1331, While You Were Sleeping              ,1995
1343, Psycho                               ,1998
