id,first_name,last_name,year_born
1001, James        , Stewart         ,1908
1002, Grace        , Kelly           ,1929
1003, Raymond      , Burr            ,1917
1004, John Michael , Hayes           ,1919
982, Delia        , Ephron          ,1943
983, Lisa         , Kudrow          ,1963
961, Taylor       , Hackford        ,1945
962, Tony         , Gilroy (I)      ,1962
963, David        , Morse           ,1953
941, John         , Lasseter        ,1957
942, Tim          , Allen           ,1953
943, Annie        , Potts           ,1952
921, Terry        , Gilliam         ,1940
922, Chris        , Marker          ,1921
923, Joseph       , Melito          ,1932
902, Audrey       , Wells           ,1961
903, Spencer      , Breslin         ,1992
904, Emily        , Mortimer        ,1971
881, Michael      , Bay             ,1965
882, Robert       , Roy Pool        ,1957
883, Billy        , Bob Thornton    ,1955
884, Liv          , Tyler           ,1977
862, Spencer      , Clark           ,1987
841, M. Night     , Shyamalan       ,1970
842, Haley        , Joel Osment     ,1988
843, Toni         , Collette        ,1972
821, Luc          , Besson          ,1959
822, Bruce        , Willis          ,1955
823, Gary         , Oldman          ,1958
824, Milla        , Jovovich        ,1975
801, Richard      , Donner          ,1930
802, Jonathan     , Lemkin          ,1948
803, Danny        , Glover          ,1946
781, Daniel       , Myrick          ,1964
782, Heather      , Donahue         ,1974
783, Joshua       , Leonard         ,1975
784, Michael      , C. Williams     ,1973
761, Marie        , Brenner         ,1963
762, Diane        , Venora          ,1952
741, Jon          , Amiel           ,1948
742, Ronald       , Bass            ,1943
743, Sean         , Connery         ,1930
744, Ving         , Rhames          ,1961
721, Elmore       , Leonard         ,1925
722, George       , Clooney         ,1961
723, Jim          , Robinson (I)    ,1947
724, Jennifer     , Lopez           ,1970
701, Chuck        , Palahniuk       ,1955
703, Meat         , Loaf            ,1951
681, Tony         , Kaye (I)        ,1968
682, David        , McKenna         ,1968
683, Edward       , Norton          ,1969
684, Edward       , Furlong         ,1977
685, Beverly      , DAngelo         ,1969
661, Michael      , Mann            ,1943
662, Al           , Pacino          ,1940
663, Robert       , De Niro         ,1943
641, Michael      , Apted           ,1941
642, Neal         , Purvis          ,1950
643, Pierce       , Brosnan         ,1953
644, Sophie       , Marceau         ,1966
645, Denise       , Richards        ,1972
621, David        , H. Franzoni     ,1967
622, Russell      , Crowe           ,1964
623, Joaquin      , Phoenix         ,1974
624, Connie       , Nielsen         ,1965
601, Jean-Pierre  , Jeunet          ,1955
602, Joss         , Whedon          ,1964
604, Dominique    , Pinon           ,1955
582, Vincent      , Ward            ,1956
583, Charles      , Dutton          ,1951
584, Charles      , Dance           ,1946
561, Carrie       , Henn            ,1976
562, Don          , Sharpe          ,1968
563, Suzanne      , M. Benson       ,1959
564, Brian        , Johnson (I)     ,1970
541, Ridley       , Scott           ,1937
542, Dan          , OBannon         ,1946
543, Tom          , Skerritt        ,1933
544, Sigourney    , Weaver          ,1949
545, Derrick      , Leather         ,1960
546, Michael      , Seymour (I)     ,1958
547, Nick         , Allder          ,1963
521, John         , McNaughton      ,1950
522, Stephen      , Peters          ,1947
524, Matt         , Dillon          ,1964
501, Roger        , Kumble          ,1966
502, Choderlos    , de Laclos       ,1741
503, Reese        , Witherspoon     ,1976
504, Selma        , Blair           ,1972
481, Jim          , Gillespie (I)   ,1968
482, Lois         , Duncan          ,1972
483, Jennifer     , Love Hewitt     ,1979
484, Ryan         , Phillippe       ,1974
485, Sarah        , Michelle Gellar ,1977
461, Robert       , Bloch           ,1917
462, Anthony      , Perkins         ,1932
463, Vera         , Miles           ,1929
464, Janet        , Leigh           ,1927
465, John         , Gavin           ,1928
466, Paul         , Jasmin          ,1921
441, Steven       , Soderbergh      ,1963
442, Stephen      , Gaghan          ,1956
443, Michael      , Douglas         ,1944
444, Benicio      , Del Toro        ,1967
