id,title,production_year,credits
1, Titanic                              ,1997, 
22, Shakespeare in Love                  ,1998, 
42, The Cider House Rules                ,1999, 
62, Gandhi                               ,1982, 
82, American Beauty                      ,1999, 
102, Affliction                           ,1997, 
121, Life is Beautiful                    ,1997, 
122, Life is Beautiful                    ,1997, 
141, Boys Dont Cry                        ,1999, 
142, Boys Dont Cry                        ,1999, 
162, Saving Private Ryan                  ,1998, 
182, The Birds                            ,1963, 
183, The Birds                            ,1963, 
1004, Rear Window                          ,1954, 
201, The Matrix                           ,1999, 
202, The Matrix                           ,1999, 
241, The Price of Milk                    ,2000, Topless Women Talk About Their Lives
261, The Footstep Man                     ,1992, 
241, Topless Women Talk About Their Lives ,1997, The Price of Milk
301, The Piano                            ,1993, 
321, Mad Max                              ,1979, 
322, Mad Max                              ,1979, 
341, Strictly Ballroom                    ,1992, 
342, Strictly Ballroom                    ,1992, 
361, My Mother Frank                      ,2000, 
381, American Psycho                      ,2000, 
382, American Psycho                      ,2000, 
402, Scream 2                             ,1997, Scream 3
402, Scream 3                             ,2000, Scream 2
442, Traffic                              ,2000, 
461, Psycho                               ,1960, 
482, I Know What You Did Last Summer      ,1997, 
502, Cruel Intentions                     ,1999, 
522, Wild Things                          ,1998, 
542, Alien                                ,1979, 
1, Aliens                               ,1986, 
582, Alien 3                              ,1992, 
602, Alien: Resurrection                  ,1997, 
621, Gladiator                            ,2000, 
642, The World Is Not Enough              ,1999, 
661, Heat                                 ,1995, 
682, American History X                   ,1998, 
701, Fight Club                           ,1999, 
721, Out of Sight                         ,1998, 
742, Entrapment                           ,1999, 
761, The Insider                          ,1999, 
781, The Blair Witch Project              ,1999, 
802, Lethal Weapon 4                      ,1998, 
821, The Fifth Element                    ,1997, 
841, The Sixth Sense                      ,1999, 
841, Unbreakable                          ,2000, The Sixth Sense
882, Armageddon                           ,1998, 
902, The Kid                              ,2000, 
922, Twelve Monkeys                       ,1995, 
222, You have Got Mail                    ,1998, 
941, Toy Story                            ,1995, 
962, Proof of Life                        ,2000, 
962, Hanging Up                           ,2000, 
1005, Bullets Over Broadway                ,1994, Alice
1015, Tombstone                            ,1993, 
1005, Alice                                ,1990, Bullets Over Broadway
1028, Mermaids                             ,1990, 
1037, Exotica                              ,1994, 
1044, Red Rock West                        ,1992, 
1052, Chaplin                              ,1992, 
1061, Fearless                             ,1993, 
1070, Threesome                            ,1994, 
1079, Jungle Fever                         ,1991, Malcolm X
1087, Internal Affairs                     ,1990, 
1097, Single White Female                  ,1992, 
1104, Trust                                ,1990, Amateur
1111, Ju Dou                               ,1990, 
1118, Dahong Denglong Gaogao Gua           ,1991, 
1124, Cyrano de Bergerac                   ,1990, 
1005, Manhattan Murder Mystery             ,1993, 
1132, El Mariachi                          ,1992, 
1136, Once Were Warriors                   ,1994, 
1144, Priest                               ,1994, 
1151, Pump Up the Volum                    ,1990, 
1159, Benny and Joon                       ,1993, 
1166, Six Degrees of Separation            ,1993, 
1174, Bawang Bie Ji                        ,1993, 
1180, In the Line of Fire                  ,1993, 
1186, Heavenly Creatures                   ,1994, Braindead
1191, Hoop Dreams                          ,1994, 
1196, Seven                                ,1995, 
1203, Shallow Grave                        ,1994, 
1211, French Kiss                          ,1995, 
1186, Braindead                            ,1992, Heavenly Creatures
1221, Clerks                               ,1994, 
1226, Apollo 13                            ,1995, 
1232, Reservoir Dogs                       ,1992, Pulp Fiction
1232, Pulp Fiction                         ,1994, Reservoir Dogs
1241, Yinshi Nan Nu                        ,1994, 
1248, Short Cuts                           ,1993, 
1255, Legends of the Fall                  ,1994, 
1261, Natural Born Killers                 ,1994, 
1268, In the Mouth of Madness              ,1995, 
1275, Forrest Gump                         ,1994, 
1279, Malcolm X                            ,1992, Jungle Fever
1285, Dead Again                           ,1991, 
1292, Jurassic Park                        ,1993, 
1297, Clueless                             ,1995, 
1306, Shadowlands                          ,1993, 
1104, Amateur                              ,1994, Trust
1317, GoodFellas                           ,1990, 
1325, Little Women                         ,1994, 
1332, While You Were Sleeping              ,1995, 
1344, Psycho                               ,1960, 
461, Psycho                               ,1998, 
1344, Psycho                               ,1998, 
 Internal Affairs           ,1990,4, unfaithfulness
 Internal Affairs           ,1990,5, lesbian-cop
 Internal Affairs           ,1990,6, police
 Single White Female        ,1992,1, apartment
 Single White Female        ,1992,2, software
 Single White Female        ,1992,3, notebook
 Single White Female        ,1992,4, personals-column
 Single White Female        ,1992,5, murder
 Single White Female        ,1992,6, psychopath
 Single White Female        ,1992,7, puppy
 Single White Female        ,1992,8, roommate
 Single White Female        ,1992,9, female scene
 Trust                      ,1990,1, Marias pregnancy
 Trust                      ,1990,2, homeless
 Trust                      ,1990,3, Matthew Slaughter
 Trust                      ,1990,4, Matthews job
 Trust                      ,1990,5, being together
 Trust                      ,1990,6, changes
 Ju Dou                     ,1990,1, 1920s
 Ju Dou                     ,1990,2, crippling-accident
 Ju Dou                     ,1990,3, factory-owner
 Ju Dou                     ,1990,4, feudal-society
 Ju Dou                     ,1990,5, impotence
 Ju Dou                     ,1990,6, push-cart
 Ju Dou                     ,1990,7, sadism
 Dahong Denglong Gaogao Gua ,1991,1, marriage
 Dahong Denglong Gaogao Gua ,1991,2, Chens castle
 Dahong Denglong Gaogao Gua ,1991,3, competition between the wives
 Dahong Denglong Gaogao Gua ,1991,4, the red lantern
 Dahong Denglong Gaogao Gua ,1991,5, haircut
